BRCD  TOTACC  TOTPGS
5101       1       1
5102       4       4
5104       1       1
5106       7       7
5107       2       2
5109       1       1
5110       2       2
5111       1       1
5113       2       2
5120       1       1
5124       1       1
5125       1       1
5128       1       1
5130       1       1
5141       2       2
5144       3       3
5146       2       2
5153       1       1
5159       5       5
5162       1       1
5202       2       2
5204       2       2
5205       2       2
5206       1       1
5209       5       5
5211       2       2
5301       2       2
5305       1       1
5310       1       1
5402       5       5
5404       1       1
5410       3       3
5411       1       1
5412       1       1
5503       1       1
5505       3       3
5506       1       1
5512       1       1
5601       4       4
5602       2       2
5603       1       1
5605       6       6
5608       2       2
5611       2       2
5612       2       2
5613       1       1
5616       8       8
5620       3       3
5623       1       1
5701       1       1
5704       2       2
5705       2       2
5706       1       1
5710       1       1
5713       3       3
5714       1       1
5715       1       1
5716       1       1
5722       4       4
5732       2       2
5733       2       2
5738       7       7
5740       2       2
5802       3       3
5805       1       1
5808      10      10
5811       1       1
5812       1       1
5817       5       5
5818       1       1
5820       1       1
5822       6       6
5828       8       8
5829       5       5
5830       2       2
5838       1       1
5901       2       2
6002       2       2
6003       4       4
6004       4       4
6005       1       1
6006       1       1
6009       2       2
6010       6       6
6013       7       7
6014       1       1
6016       6       6
6018       2       2
6019       3       3
6023       4       4
6026       6       6
6029       4       4
6101       1       1
6102       2       2
6103       2       2
6105       2       2
6109       4       4
6112       1       1
6116       1       1
6118       1       1
6121       2       2
6123       3       3
6129       4       4
6201       1       1
6202       3       3
6205       1       1
6208       2       2
6209       1       1
6210       2       2
6214       4       4
6218       1       1
6221       1       1
6223       1       1
6224       1       1
6226       2       2
6227       1       1
6229       1       1
6231       2       2
6236       1       1
6240       1       1
6245       1       1
6246       1       1
6252       2       2
6275       1       1
6277       2       2
6284       3       3
6290       3       3
6298       1       1
6301       6       6
6303       1       1
6304       5       5
6305       2       2
6308       2       2
6309       1       1
6404       2       2
6412       1       1
6415       2       2
6419       1       1
6423       1       1
6424       1       1
6430       3       3
6432       3       3
6438       1       1
6440       1       1
6448       1       1
6449       2       2
6454       3       3
6458       1       1
6468       1       1
6471       1       1
6481       6       6
6485       1       1
6487       1       1
6489       1       1
6601       2       2
